スポット名,書籍名,人物,施設名,所在地,緯度,経度
山川登美子記念館,白百合の崖,津村節子,,小浜市千種1-10-7,35.498497,135.747033
山川登美子記念館,,山川登美子,山川登美子歌碑,,35.498497,135.747033
杉田玄白銅像,,杉田玄白,杉田玄白銅像,小浜市大手町2-2　杉田玄白記念公立小浜病院,35.49402,135.745972
小浜市街,波影,水上勉,,,35.49561,135.74661
小浜市街,ちりとてちん,藤本有紀,,,35.49561,135.74661
小浜市街,十津川警部「故郷」,西村京太郎,,,35.49561,135.74661
小浜市街,環蛇銭,加門七海,,,35.49561,135.74661
小浜公園,,山川登美子,山川登美子歌碑,小浜市小浜香取８１－１,35.492253,135.733549
空印寺,海路残照,森崎和江,,小浜市小浜男山2,35.491488,135.738503
空印寺,海のある奈良に死す,有栖川有栖,,,35.491488,135.738503
発心寺,,山川登美子,山川登美子墓,小浜市伏原45-.3,35.488412,135.742566
常高寺,,尾崎放哉,尾崎放哉句碑,小浜市小浜浅間１,35.489547,135.734678
若狭本郷駅,停車場有情,水上勉,,おおい町本郷153-1,35.482633,135.619289
若狭本郷駅,わが六道の闇夜,水上勉,,,35.482633,135.619289
若州一滴文庫,若狭幻想,水上勉,,おおい町岡田33字小近谷2-1,35.464651,135.60738
若州一滴文庫,若狭日記,水上勉,,,35.464651,135.60738
若州一滴文庫,わが六道の闇夜,水上勉,,,35.464651,135.60738
高浜,まぼろしの旅路,笹沢左保,,,35.49033,135.55097
青葉山,霧と影,水上勉,,高浜町青郷地区,35.505235,135.483488
青葉山,化身,藤木稟,,,35.505235,135.483488
青葉山,若狭海辺だより,水上勉,,,35.505235,135.483488
